사업장명,WGS84위도,WGS84경도,소재지도로명주소,소재지우편번호
한향림도자미술관,37.78898212,126.7011837,경기도 파주시 탄현면 헤이리마을길 82-37,10859
불루메미술관,37.7892756,126.6966263,경기도 파주시 탄현면 헤이리마을길 59-30,10859
콩세유미술관,37.73897616,126.8790011,경기도 파주시 광탄면 세류길 7-0,10955
콩세유미술관,37.73897616,126.8790011,경기도 파주시 광탄면 세류길 7-0,10955
불루메미술관,37.7892756,126.6966263,경기도 파주시 탄현면 헤이리마을길 59-30,10859
한향림도자미술관,37.78898212,126.7011837,경기도 파주시 탄현면 헤이리마을길 82-37,10859
기산미술관,37.77376914,126.9164767,경기도 파주시 광탄면 기산로186번길 59,10953
불루메미술관,37.7892756,126.6966263,경기도 파주시 탄현면 헤이리마을길 59-30,10859
기산미술관,37.77376914,126.9164767,경기도 파주시 광탄면 기산로186번길 59,10953
정문규미술관,37.80119394,126.6878871,경기도 파주시 탄현면 새오리로 199-0,10858
소다미술관,37.20162602,127.0060676,경기도 화성시 효행로707번길 30-0 (안녕동),18362
엄미술관,37.20553199,126.979379,경기도 화성시 봉담읍 오궁길 37,18327
엄미술관,37.20553199,126.979379,경기도 화성시 봉담읍 오궁길 37,18327
소다미술관,37.20162602,127.0060676,경기도 화성시 효행로707번길 30-0 (안녕동),18362
엄미술관,37.20553199,126.979379,경기도 화성시 봉담읍 오궁길 37,18327s
